product_id,product_name,category,sub_category,brand,margin_pct,times_ordered,total_units_sold,total_revenue,avg_line_total,avg_discount,unique_buyers,unit_cost,total_cost,gross_profit,revenue_rank,units_rank,revenue_contribution_pct
4,"Laptop Pro 15"" i9",Electronics,Computers,NexGen,40.00,54,106,191673.42,3549.51,6.03,51,1140.00,120840.00,70833.42,1,5,18.56
31,Memory Foam Mattress Queen,Home & Garden,Bedroom,SleepWell,60.00,42,80,68280.79,1587.93,5.05,38,360.00,28800.00,39480.79,2,44,6.61
5,"Tablet Air 11""",Electronics,Computers,NexGen,50.00,43,89,60563.12,1408.44,3.53,41,350.00,31150.00,29413.12,3,24,5.86
1,"Ultra HD 65"" Smart TV",Electronics,Televisions,TechVision,40.00,29,45,56560.08,1950.35,3.67,28,780.00,35100.00,21460.08,4,108,5.48
40,Espresso Machine Pro,Home & Garden,Kitchen,BrewMaster,60.00,39,78,43859.84,1124.61,5.27,36,240.00,18720.00,25139.84,5,54,4.25
38,Air Purifier HEPA Large,Home & Garden,Living Room,CleanAir,60.00,51,113,26542.40,510.43,6.14,47,100.00,11300.00,15242.40,6,2,2.57
6,Smart Watch Series X,Electronics,Wearables,TechVision,60.00,41,68,26174.93,623.21,3.58,38,160.00,10880.00,15294.93,7,82,2.53
2,Wireless Noise-Cancel Headphones,Electronics,Audio,SoundWave,60.00,31,67,22193.83,693.56,4.60,29,140.00,9380.00,12813.83,8,84,2.15
18,Classic Wool Blazer,Clothing,Outerwear,FormalEdge,62.00,46,90,21622.41,470.05,3.88,42,95.00,8550.00,13072.41,9,22,2.09
46,Adjustable Dumbbell Set,Sports & Fitness,Weights,IronForge,60.00,32,73,20744.62,648.27,6.40,31,120.00,8760.00,11984.62,10,70,2.01
15,Smart Doorbell Camera,Electronics,Smart Home,SecureView,60.00,56,119,20627.10,368.34,3.76,47,72.00,8568.00,12059.10,11,1,2.00
32,Stainless Steel Cookware Set,Home & Garden,Kitchen,ChefMaster,60.00,32,71,19614.50,594.38,5.59,31,120.00,8520.00,11094.50,12,74,1.90
8,4K Action Camera,Electronics,Cameras,CapturePro,55.00,33,51,14777.31,447.80,3.12,31,135.00,6885.00,7892.31,13,105,1.43
21,Waterproof Winter Jacket,Clothing,Outerwear,StormShield,60.00,39,76,14573.70,373.68,4.34,35,80.00,6080.00,8493.70,14,59,1.41
7,Wireless Earbuds Pro,Electronics,Audio,SoundWave,67.50,34,74,14385.78,423.11,3.61,29,65.00,4810.00,9575.78,15,66,1.39
41,Smart Irrigation System,Home & Garden,Garden,GreenThumb,60.00,32,73,12644.44,395.14,3.91,31,72.00,5256.00,7388.44,16,70,1.22
48,Running Shoes UltraBoost,Sports & Fitness,Footwear,SpeedStrike,62.50,42,80,11966.68,278.29,5.85,37,60.00,4800.00,7166.68,17,44,1.16
13,USB-C Docking Station,Electronics,Accessories,NexGen,60.00,44,91,11272.87,256.20,4.53,42,52.00,4732.00,6540.87,18,20,1.09
12,Mechanical Keyboard,Electronics,Accessories,GameForce,61.25,34,67,10413.95,306.29,3.74,31,62.00,4154.00,6259.95,19,84,1.01
33,Smart LED Floor Lamp,Home & Garden,Lighting,LuminaHome,63.07,41,84,10189.86,248.53,5.51,35,48.00,4032.00,6157.86,20,33,0.99
9,Smart Home Hub,Electronics,Smart Home,TechVision,60.00,39,69,9792.48,251.09,5.61,37,60.00,4140.00,5652.48,21,78,0.95
20,Merino Wool Sweater,Clothing,Tops,WoolCo,60.00,40,82,9361.49,234.04,4.72,36,48.00,3936.00,5425.49,22,41,0.91
